ID,Title,Short Description,Contributors,Mentors,Organization,GSoC Archive Link,Reflection Link,Challenges,Learn,Details,Pull Links,Issue Links,Tech Stack,Topics
1, [FURY]  Improving Community Engagement: AI communication automation using LLM ,"This project aims to utilize LLMs to make the library more accessible to the community. There will be a Discord, GitHub and X (previously Twitter)...", Robin Roy ," Mentor  m-agour, SERGE KOUDORO, Eleftherios Garyfallidis ", Organization  Python Software Foundation ,/archive/2024/projects/iVENG55P,https://gist.github.com/robinroy03/d251a5bd1d910b0c3dcee96475eb0e0e,Yes,Yes,"This project aims to utilize LLMs to make the library more accessible to the community. 
There will be a Discord, GitHub and X (previously Twitter) Integration.

By reducing the barrier of entry, we aim to bring more people into using scientific visualization libraries.","['https://github.com/fury-gl/fury/pull/862', 'https://github.com/fury-gl/fury/pull/861', 'https://github.com/fury-gl/fury/pull/891', 'https://github.com/fury-gl/fury/pull/893', 'https://github.com/github/docs/pull/34259']","['https://github.com/fury-gl/fury/issues/924', 'https://github.com/langchain-ai/langchain/issues/23515', 'https://github.com/github/docs/issues/34258']","python, rest api, LLM","scientific visualization, LLM"
2, Improve support of the Rust findutils in Debian ,Reimplemented the GNU suite using the Rust language and improved its compatibility so that it could be put into production. The main tasks include:..., hanbings ," Mentor  Sylvestre Ledru, Terts Diepraam, Daniel Hofstetter ", Organization  Debian ,/archive/2024/projects/Rv3xx9w2,https://blog.hanbings.io/events/gsoc-2024-improve-support-of-the-rust-findutils-in-debian/,No,No,"Reimplemented the GNU suite using the Rust language and improved its compatibility so that it could be put into production.
The main tasks include: checking existing issues, trying to solve them, adding corresponding test codes, improving the stability and security of the system, and discovering and solving compatibility issues through testing.","['https://github.com/uutils/findutils/pull/386', 'https://github.com/uutils/findutils/pull/413', 'https://github.com/uutils/findutils/pull/435', 'https://github.com/uutils/findutils/pull/421', 'https://github.com/uutils/findutils/pull/443', 'https://github.com/uutils/findutils/pull/408', 'https://github.com/uutils/findutils/pull/405', 'https://github.com/uutils/findutils/pull/411', 'http://github.com/uutils/findutils/pull/389', 'https://github.com/uutils/findutils/pull/436', 'https://github.com/uutils/findutils/pull/420', 'https://github.com/uutils/findutils/pull/436', 'https://github.com/uutils/findutils/pull/414', 'https://github.com/uutils/findutils/pull/394', 'https://github.com/uutils/findutils/pull/361', 'https://github.com/uutils/findutils/pull/400']","['https://github.com/uutils/findutils/issues/370', 'https://github.com/uutils/findutils/issues/375', 'https://github.com/uutils/findutils/issues/372', 'https://github.com/uutils/findutils/issues/378', 'https://github.com/uutils/findutils/issues/382', 'https://github.com/uutils/findutils/issues/383', 'https://github.com/uutils/findutils/issues/381', 'https://github.com/uutils/findutils/issues/380', 'https://github.com/uutils/findutils/issues/374', 'https://github.com/uutils/findutils/issues/371', 'https://github.com/uutils/findutils/issues/377', 'https://github.com/uutils/findutils/issues/373', 'https://github.com/uutils/findutils/issues/379', 'https://github.com/uutils/findutils/issues/308', 'https://github.com/uutils/findutils/issues/412', 'https://github.com/uutils/findutils/issues/376']",rust,operating system
3, LLM Hyperparameters Tuning API Proposal (Project 4) ,This proposal aims to address the challenge of tuning hyperparameters for Large Language Models (LLMs) by developing a user-friendly high-level API...., Hezhi Xie ," Mentor  Yuan Tang, Rishit Dagli, Andrey Velichkevich, Yuki Iwai, Johnu George, Akshay Chitneni ", Organization  Kubeflow ,/archive/2024/projects/osQjg4Se,https://github.com/kubeflow/katib/issues/2339,Yes,Yes,"This proposal aims to address the challenge of tuning hyperparameters for Large Language Models (LLMs) by developing a user-friendly high-level API. Leveraging the method used in the Training Operator for importing pre-trained models and datasets from external platforms, we will create a tune function similar to existing methods. This will empower users to easily explore various hyperparameter configurations through the API, optimizing LLM performance without requiring in-depth infrastructure knowledge. The proposal includes the design, implementation, and timeline for the API development. Additionally, some future functionalities are proposed to further improve user experience.","['https://github.com/kubeflow/katib/pull/2333', 'https://github.com/kubeflow/katib/pull/2393', 'https://github.com/kubeflow/katib/pull/2424', 'https://github.com/kubeflow/katib/pull/2423', 'https://github.com/kubeflow/katib/pull/2420', 'https://github.com/kubeflow/website/pull/3952', 'https://github.com/kubeflow/trainer/pull/2180', 'https://github.com/kubeflow/trainer/pull/2181', 'https://github.com/kubeflow/trainer/pull/2187', 'https://github.com/kubeflow/trainer/pull/2230', 'https://github.com/kubeflow/trainer/pull/2250', 'https://github.com/kubeflow/trainer/pull/2199', 'https://github.com/kubeflow/blog/pull/150', 'https://github.com/kubeflow/katib/pull/2333', 'https://github.com/kubeflow/katib/pull/2393', 'https://github.com/kubeflow/katib/pull/2409', 'https://github.com/kubeflow/katib/pull/2410', 'https://github.com/kubeflow/katib/pull/2411', 'https://github.com/kubeflow/katib/pull/2420', 'https://github.com/kubeflow/katib/pull/2423', 'https://github.com/kubeflow/website/pull/3952']","['/login?return_to=https%3A%2F%2Fgithub.com%2Fkubeflow%2Fkatib%2Fissues%2F2339', '/login?return_to=https%3A%2F%2Fgithub.com%2Fkubeflow%2Fkatib%2Fissues%2F2339', '/login?return_to=https://github.com/kubeflow/katib/issues/2339', '/login?return_to=https://github.com/kubeflow/katib/issues/2339', 'https://github.com/kubeflow/katib/issues/2386', 'https://github.com/kubeflow/katib/issues/2386', 'https://github.com/kubeflow/katib/issues?q=state%3Aopen%20label%3A%22area%2Fgsoc%22', 'https://github.com/kubeflow/katib/issues?q=state%3Aopen%20label%3A%22release%2F0.18%22', 'https://github.com/kubeflow/katib/issues/2339#issue-2328833526', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2145306469', 'https://github.com/kubeflow/katib/issues/2339#event-13021970075', 'https://github.com/kubeflow/katib/issues/2339#event-13173837962', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2171103498', 'https://github.com/kubeflow/katib/issues/2339#event-13173842590', 'https://github.com/kubeflow/katib/issues/2339#event-1406514745', 'https://github.com/kubeflow/katib/issues/2339#event-1410714472', 'https://github.com/kubeflow/katib/issues/2339#event-1418174128', 'https://github.com/kubeflow/katib/issues/2339#event-1423158513', 'https://github.com/kubeflow/katib/issues/2339#event-1423184078', 'https://github.com/kubeflow/katib/issues/2291', 'https://github.com/kubeflow/katib/issues/2339#event-1423948193', 'https://github.com/kubeflow/katib/issues/2339#event-14161130154', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2520572388', 'https://github.com/kubeflow/katib/issues/2339#event-15545621351', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2521967765', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2521968052', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2521967765', 'https://github.com/kubernetes/test-infra/issues/new?title=Prow%20issue:', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2521973069', 'https://github.com/kubeflow/katib/issues/2339#event-15553693442', 'https://github.com/kubeflow/katib/issues/2339#event-1892381264', 'https://github.com/kubeflow/katib/issues/2339#event-15860316298', 'https://github.com/kubeflow/katib/issues/2339#event-15897168024', 'https://github.com/kubeflow/katib/issues/2339#event-1945192061', 'https://github.com/kubeflow/katib/issues/2386', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2616442399', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2617066580', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-2617102865', 'https://github.com/kubeflow/katib/issues/2339#issuecomment-3008669938', 'https://github.com/kubeflow/katib/issues/2339#event-18337521649', '/signup?return_to=https://github.com/kubeflow/katib/issues/2339', '/login?return_to=https://github.com/kubeflow/katib/issues/2339', 'https://github.com/kubeflow/katib/issues?q=state%3Aopen%20label%3A%22area%2Fgsoc%22', 'https://github.com/kubeflow/katib/issues?q=state%3Aopen%20label%3A%22release%2F0.18%22', 'https://github.com/kubeflow/katib/issues/2339']","python, kubernetes, YAML","api, Hyperparameter Tuning, Large Language Models (LLMs), High-level"
4, Roshan Singh - Agora Blockchain ,"1. Diamond Proxy Vulnerability: Problems: The current diamond proxy has a lot of vulnerabilities like re-entrancy, fake votes and unsupervised...", Roshan Raj Singh ," Mentor  Bruno, jddeep, hackeramitkumar, Abanda Ludovic, Kumar Harsh, Chandan S Gowda, Harish Dendukuri, Prarabdh Shukla ", Organization  AOSSIE ,/archive/2024/projects/Z41EMoNZ,https://github.com/AOSSIE-Org/Agora-Blockchain/blob/main/docs/GSOC_2024/Roshan_Singh.md,Yes,No,"1. Diamond Proxy Vulnerability: 
Problems: The current diamond proxy has a lot of vulnerabilities like re-entrancy, fake votes and unsupervised function calls. This can lead to anyone fake their votes or launch attacks that can make voting very difficult for others.
Set of deliverables: Mitigate vulnerabilities like re-entrancy and fake votes in Diamond Proxy through encryption and frequent security evaluations.
2. Cross-Chain Interoperability:
Problems: The current Dapp only allows voting on 1 specific blockchain this can restrict user accessibility and reliability.
Set of deliverables: Enabling cross chain interoperability will allow users to vote from any blockchain.
3. Web3 Database Implementation:
Problems: The current implementation charges very high gas fee for creation and interaction with elections.
Set of deliverables: Reduce on-chain data storage, optimizing performance and scalability while maintaining data integrity. Also removes the barrier to pay gas for registering in Dapp.
4. Expansion of Voting Algorithms: 
Problem: Limited algorithms result in a lack of proper representation of views and give lesser choices to organizers. 
Set of deliverables: Adding diverse voting algorithms like ranked choice and quadratic voting.
5. ERC1155 for Voter Proof: 
Problem: Users currently have no proof of participation in an election and no section in Dapp to check for their voted elections.
Set of deliverables:By minting an NFT for each vote cast, users will have verifiable evidence of their participation in voting.
6. Adding Hashing to Voting system:
Problem: The current voting system lacks privacy since voting details can be traced through blockchain transactions.
Set of deliverables: Implementing argument hashing to ensure the anonymity of votes, thereby preventing the disclosure of any user's voting choices.","['https://github.com/AOSSIE-Org/Agora-Blockchain/pull/67', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/39', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/40', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/49', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/50', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/51', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/55', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/59', 'https://github.com/AOSSIE-Org/Agora-Blockchain/pull/60']",[],"reactjs, Solidity, Hardhat, Wagmi, EIP, PolybaseDB, Chainlink-CCIP","blockchain, cryptography, Web3.0"
5, DaemonSet deployment for Prometheus Agent ,"This project is about designing and implementing the deployment of Prometheus Agent as DaemonSet. Currently, Prometheus Agent can only be deployed as...", Ha Anh Vu ," Mentor  Arthur Sens, Kemal Akkoyun, Simon Pasquier ", Organization  Prometheus-Operator ,/archive/2024/projects/RD3xNW8g,https://docs.google.com/document/d/1dzF-W2ZQ4AiOG6x93aOahJvpxAEc_mZm430rNcFI8AU/edit?usp=sharing,No,Yes,"This project is about designing and implementing the deployment of Prometheus Agent as
DaemonSet. Currently, Prometheus Agent can only be deployed as StatefulSet, which could
be considered as “cluster-wide” strategy, meaning one or several high-availability
Prometheus Agents are responsible for scraping metrics of the whole cluster. Though this
works well for many use cases, some use cases may indeed require a “node-specific”
strategy (DaemonSet), where each Prometheus Agent only scrapes the metrics of the node
it’s on. This proposal will discuss the advantages and tradeoffs of this deployment mode, list
the key implementation issues and propose a solution approach for each issue.",[],[],"prometheus, kubernetes",observability
6, bowtie-trend - Long-Term Reporting With Bowtie ,"The JSON Schema test suite is a collection of JSON schemas, instances (data) and expected validation results -- meaning information about what result...", Adwait Godbole ," Mentor  Julian Berman, Agnivesh Chaubey ", Organization  JSON Schema ,/archive/2024/projects/uyfrHnuP,https://gist.github.com/adwait-godbole/14c58ac5db7d392de00bc74b828406ee,No,Yes,"The JSON Schema test suite is a collection of JSON schemas, instances (data) and expected validation results -- meaning information about what result an implementation of JSON Schema is expected to produce. These ""known correct results"" are used by a huge number of implementations of JSON Schema in order to ensure they behave correctly under the JSON Schema specification. My proposal involves enhancing the functionality of Bowtie, a tool designed for comparing results from running the JSON Schema test suite across various implementations. Currently, Bowtie generates reports indicating test pass or fail rates for each implementation. The objective is to develop a feature that tracks how these results evolve over time due to bug fixes, new test additions, etc. This involves creating a new 'bowtie trend' command to aggregate and analyze results, enabling users to visualize trends in compliance numbers over time. By integrating this feature into the Bowtie website, users will be able to access graphical representations of failed tests over different time periods.

Deliverables and plan:

Development of a new 'bowtie trend' command for aggregating and analyzing compliance results over time.

Integration of trend analysis into the Bowtie website to generate graphs illustrating changes in test outcomes.","['https://github.com/bowtie-json-schema/bowtie/pull/1250', 'https://github.com/bowtie-json-schema/bowtie/pull/1292', 'https://github.com/bowtie-json-schema/bowtie/pull/1428', 'https://github.com/bowtie-json-schema/bowtie/pull/1470', 'https://github.com/bowtie-json-schema/bowtie/pull/1311', 'https://github.com/bowtie-json-schema/bowtie/pull/1382', 'https://github.com/bowtie-json-schema/bowtie/pull/1337', 'https://github.com/bowtie-json-schema/bowtie/pull/1462', 'https://github.com/bowtie-json-schema/bowtie/pull/1408', 'https://github.com/bowtie-json-schema/bowtie/pull/1429', 'https://github.com/bowtie-json-schema/bowtie/pull/1384', 'https://github.com/bowtie-json-schema/bowtie/pull/1401']",[],"python, typescript, react.js, GitHub workflows, Chart.js, Data Processing Skills","json, JSON Schema, Trend Reports"
7, Mifos Mobile 6.0 - Mobile Banking App ,Mifos Mobile is an Android Application built on top of the MifosX Self-Service platform for end-user customers to view/transact on the accounts and..., Avneet_Singh ," Mentor  Avinaash M Vijayvargiya, Anjali Shah, Prashant Manda, Sagar . ", Organization  The Mifos Initiative ,/archive/2024/projects/OzI0UpE6,https://gist.github.com/AvneetSingh2001/5922dbbd905cd5f5e5f8ad3c0313fc4c,No,Yes,"Mifos Mobile is an Android Application built on top of the MifosX Self-Service platform for end-user customers to view/transact on the accounts and loans they hold. The project aims to add significant enhancements technologically by migrating Screens to Jetpack Compose, add Compose Navigation, and other tech-stack migrations to add support for Kotlin Multi Platform with a multi-modular approach. The project also requires replacing the current API layer from self-service Fineract APIs to Open Banking APIs, Integration with external payments systems such as Mojaloop or mPesa and Full Implementation of customer support via RocketChat to make a more seamless user experience. Also we need to increase test coverage and add full Screen tests to improve reliability. Lasty, enhance GitHub workflows by integrating additional tasks to execute Unit and UI tests. Implement Continuous Integration (CI) pipelines to facilitate the building of APKs and conduct thorough code analysis. These improvements aim to optimize project workflows while ensuring robust testing and code quality checks.",[],[],"android, Coroutines, Kotlin Multiplatform, Jetpack Compose, Koin, Jetpack Componets","mobile development, android"
8, Improve Distributed Rendering & Task Execution ,The objective of this project is to enhance the distributed rendering and task execution capabilities within Blender through several key..., David Zhang 2002 , Mentor  Sybren Stüvel , Organization  Blender Foundation ,/archive/2024/projects/cMXuvkFW,https://devtalk.blender.org/t/gsoc-2024-improve-distributed-rendering-task-execution/34566,Yes,Yes,"The objective of this project is to enhance the distributed rendering and task execution capabilities within Blender through several key improvements.
Firstly, we introduce the ability to pause jobs and submit them in a paused state, providing users with increased control over their rendering workflow and resource allocation. This feature will be particularly advantageous during peak usage periods or when prioritizing specific tasks.
Furthermore, we address the challenge of distributed rendering of single images by adopting a sample-based rendering approach. This method ensures more efficient utilization of computational resources across nodes, minimizing memory usage and avoiding artifacts caused by boundary dependencies.",[],[],"python, javascript, go","Distributed Rendering, Job Scheduling"
9, Rewrite Admin Page components from JSP to React ,OpenELIS Organisation is currently using JSP (Jakarta Server Pages) in overall pages it is slowly moving towards the newer javascript-based framework..., Aditya Deshlahre , Mentor  cliff gita , Organization  OpenELIS Global ,/archive/2024/projects/66IXZZXq,https://gist.github.com/adityadeshlahre/ee28a4c6100788ae23196e8e2394738f,Yes,Yes,"OpenELIS Organisation is currently using JSP (Jakarta Server Pages) in overall pages it is slowly moving towards the newer javascript-based framework called React Js. Currently, a (n)number of pages use Java-based controllers and endpoints that dynamically change page data in the front end to show the results, outputs, and desired data. For this project idea, I will rewrite all the Admin Pages in the React UI, connecting the Rest API Endpoint with the rendering data to the front end. Also rewriting all the Admin Configurations, Management, and Other operational pages to React.","['https://github.com/I-TECH-UW/OpenELIS-Global-2/pulls?q=is%3Apr+author%3Aadityadeshlahre+is%3Aclosed', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pulls/adityadeshlahre', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/714', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1026', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1033', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1040', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1048', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1166', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1204', 'https://github.com/I-TECH-UW/OpenELIS-Global-2/pull/1215']",['https://github.com/I-TECH-UW/OpenELIS-Global-2/issues/1051'],"javascript, java, json, react, Maven, SpringBoot","web, webdevelopment"
10, Enhanced Chat Functionality for Jitsi Meet ,This project aims to improve the chat experience in Jitsi Meet by introducing additional features and user interface enhancements. The goal is to..., Patrick He ," Mentor  saghul, Mihaela Dumitru ", Organization  Jitsi ,/archive/2024/projects/zvmYzPzC,https://gist.github.com/he-patrick/95ac7a4534c24e7da07db575219d8d09,Yes,Yes,"This project aims to improve the chat experience in Jitsi Meet by introducing additional features and user interface enhancements. The goal is to make the chat more versatile, user-friendly, and interactive, thereby improving communication during video conferences. Message Reactions — Users can react to chat messages with emojis, providing quick and expressive feedback. Message Menu — A new kebab menu for each message, offering easy access to various actions. Copy Message — Allows users to quickly copy message content. Private Message — Enables users to start a private conversation directly from a group message (relocated from previous implementation). Edit Message — Will allow users to modify their own messages after sending. Delete Message — Will allow users to retract their messages.","['https://github.com/jitsi/jitsi-meet/pull/14945', 'https://github.com/jitsi/lib-jitsi-meet/pull/2548', 'https://github.com/jitsi/lib-jitsi-meet/pull/2553', 'https://github.com/jitsi/lib-jitsi-meet/pull/2557', 'https://github.com/jitsi/jitsi-meet/pull/15006']",[],"lua, react, xmpp, typescript, react native, Prosody","web, video conferencing, App"
